Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456699.9313,58539008785.9047,79279057730.3799,105136007528.354,123709376567.552,152678020452.571,176171284311.567,200800891870.164,224969488835.181,235024598983.209,263561088977.1,281682304161.041,203304515490.795,209023912696.837,222942790435.299,268137224729.722,294084112392.66,330397381998.489,425595310000,461951782000,602860000000,400599250000,437798577639.752,558111997497.263,769305386140.261,850426433004.077,883199625314.296,863723411644.532,599388579960.318,655420645498.885,559372276095.115,507962487685.82,558319920839.938,669316654004.294,891630177234.637,1107640289610.63,1397084349956.35,1695824565961.39,1667019783575.07,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1796275437087.99,2053594877013.22,..
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,59716467625.3148,50056868957.6732,47209359005.6056,50706799902.5103,59708343488.5043,70436266146.7219,76720285969.6157,72881631326.6715,70846535055.6503,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.506,174938098826.569,149540752829.268,178280594413.043,191149211575,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712711.146,444731282436.762,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11190992550229.5,12237700479375,..
GDP (current US$),NY.GDP.MKTP.CD,India,IND,37029884761.6365,39232436722.9835,42161482867.6871,48421924617.5489,56480291292.4818,59554856000.0288,45865463131.5377,50134943403.2483,53085457141.236,58447996415.5959,62422484548.3796,67350989632.712,71463195540.6261,85515271632.0276,99525901497.5755,98472798813.7125,102717166924.066,121487325381.668,137300298593.834,152991657454.179,186325349548.793,193490614662.615,200715150164.325,218262278633.435,212158239241.317,232511883406.39,248986000002.799,279033590769.841,296589001909.868,296042362070.853,320979034101.132,270105348343.126,288208437279.884,279296029670.864,327275591370.212,360281961338.848,392897063750.91,415867763817.158,421351487589.439,458820428317.636,468394948472.075,485441026156.237,514937961193.744,607699299977.083,709148531774.823,820381672147.736,940259892374.501,1216735426855.47,1198895498504.14,1341886699393.18,1675615312693.42,1823049927772.05,1827637859136.23,1856722121394.42,2039127446299.3,2103587813812.2,2290432075123.55,2650725335363.83,..
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,554713455149.502,506500173960.269,516814274021.956,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347770733.155,591016690742.937,764017107993.346,989930542278.684,1299705764824.48,1660846387626,1222644282200.48,1524917468442.6,2051661732059.47,2210256976944.75,2297128039058.16,2063662665172.51,1363705265460.57,1282663609770.69,1578417211936.87,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.475116,89.8356246948242,88.803833,89.999927,91.4888916015625,91.728598,92.867095,93.354139,94.193812,94.76296,94.4665679931641,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.883056640625,99.328691,99.519494,99.575151,99.650247,99.710902,100,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.2160110473633,92.6558151245117,93.0951156616211,93.5313568115234,93.9614715576172,94.3824157714844,94.7911224365235,95.1845321655273,95.5595932006836,95.9132308959961,96.2439270019531,96.5562057495117,96.8561401367187,97.149787902832,97.4432144165039,97.7424926757813,98.0668106079102,98.3987045288086,98.7499160766602,99.1156463623047,99.7,99.7487258911133,99.9163818359375,99.9831161499023,99.9984893798828,100,100,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.291561126709,44.9389953613281,46.5859222412109,50.9,49.8675346374512,51.4961051940918,53.1124382019043,54.7134742736816,56.2961578369141,60.1,59.3957443237305,55.8,62.3,63.9244918823242,64.4,66.9324493408203,67.9,69.9880218505859,71.5473175048828,75,76.3,67.6,79.9,79.5991134643555,81.2395095825195,88,84.5268173217773,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.415374,65.2392503085482,54.332727,57.204498,68.2033648912612,62.915861,66.942201,68.817801,72.778247,75.436121,74.9041610654805,77.62953,80.181746,81.921384,81.507163,83.469462,86.071277,89.070615,91.398435,93.332725,93.7626835537736,95.784948,97.022847,97.294009,97.839087,98.242607,100,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.6840784496966,90.1510010024056,90.6250232069605,91.1037713940627,91.5834071737152,92.0606383845575,92.5315610086531,92.9929537632254,93.4402314714532,93.8691787631485,94.142393525458,94.6539613538074,95.0174743181508,95.3841839748792,95.7631228956269,96.1643641071664,96.6254570627196,97.120619980515,97.6808575144427,98.3086743182799,98,99.4916258139791,99.8261974099054,99.9639480481572,99.9966865099426,100,100,..,..
